seller_id,seller_state,product_category_name_english,total_revenue,total_orders,avg_review_score,avg_freight
038b75b729c8a9a04b0d07cba7eabe86,SP,housewares,467.0,2,3.5,45.425
039b29ff3b3473435d0cd59040575de9,SP,dvds_blu_ray,35.6,4,4.5,9.35
039b29ff3b3473435d0cd59040575de9,SP,music,79.30000000000001,5,4.4,12.65
039e6ad9dae79614493083e241147386,SP,garden_tools,12925.0,5,4.0,69.684
03a2a6dcbe45d639c4dc2a0d24769c40,SP,garden_tools,1078.41,9,4.111111111111111,19.13888888888889
03bd479e1d9484cdb14104d3023f7321,MG,auto,359.70000000000005,3,4.333333333333333,19.24
0417b067eeab773d2f7061a726dc477f,SC,auto,1859.18,13,3.923076923076923,49.42846153846154
042573af89b6d931f672efaf789d8358,SP,small_appliances,354.98,2,3.0,26.59
042573af89b6d931f672efaf789d8358,SP,sports_leisure,58.5,1,5.0,11.91
04308b1ee57b6625f47df1d56f00eedf,SC,health_beauty,58991.799999999996,92,3.9456521739130435,32.05239130434783
0432ead42b6c8a0bdf68154add917fdf,SP,consoles_games,114.69999999999999,3,4.666666666666667,13.683333333333332
0432ead42b6c8a0bdf68154add917fdf,SP,housewares,79.9,1,1.0,7.81
0432ead42b6c8a0bdf68154add917fdf,SP,toys,7379.8,78,4.590361445783133,13.628192771084338
044668ccd5316b12a7cf0d54a156e3e9,SP,food,137.8,3,5.0,13.3875
04843805947f0fc584fc1969b6e50fe7,RS,bed_bath_table,1400.0,1,5.0,37.38
048c2757535328e0d7dac690ad3c0aae,SP,fashion_shoes,9065.08,50,4.244897959183674,24.9466
04aa0a1c5ce6b222003403a3e11c3cc0,SP,auto,5409.0,10,3.5,45.218125
04aa0a1c5ce6b222003403a3e11c3cc0,SP,sports_leisure,109.0,1,4.0,98.02
04aba03279157f6d4e0fe8ccaf21963c,RJ,health_beauty,2416.0,15,4.533333333333333,21.282
04e38a233f726ef161074ab1c9b0399a,SP,baby,183.5,5,4.6,9.623999999999999
04e38a233f726ef161074ab1c9b0399a,SP,housewares,355.2,6,4.25,16.41875
04e38a233f726ef161074ab1c9b0399a,SP,sports_leisure,452.9,8,3.909090909090909,16.01818181818182
04ee0ec01589969663ba5967c0e0bdc0,RS,arts_and_craftmanship,289.49,1,5.0,24.83
04fdea0c111866e6cf812f1570d6b5bd,SP,computers_accessories,665.0,7,3.7142857142857144,22.099999999999998
04fdea0c111866e6cf812f1570d6b5bd,SP,electronics,200.0,1,2.0,18.65
0509040ea3fe50071181bbc359eb7738,MG,bed_bath_table,45.9,1,5.0,12.48
0509040ea3fe50071181bbc359eb7738,MG,housewares,319.05,7,4.0,15.805555555555555
0509040ea3fe50071181bbc359eb7738,MG,sports_leisure,3324.4,79,4.541176470588235,14.595
052577151711aec5c744fe12e66db3e1,SC,small_appliances,687.0,1,5.0,42.65
054694fa03fe82cec4b7551487331d74,SP,cool_stuff,1987.0,6,3.0,24.81857142857143
054694fa03fe82cec4b7551487331d74,SP,home_appliances_2,2387.0,5,3.8,40.888
